PROCESS	SENT_ID	SENTENCE	ARG_ID	START_IDX	END_IDX	SPAN	ROLE
absorption	66	absorption is the process by which a liquid is drawn into and tends to fill permeable pores in a porous solid body.	0	10	10	drawn	A2
absorption	151	absorption is the process by which drug enters into the systemic circulation from the site of...	0	8	8	enters	A2
absorption	180	absorption is the process of taking water, food, and oxygen into the cells.	0	6	6	taking	A2
absorption	236	absorption is the process by which digested food are passed into different parts of a plant or an animal.	0	10	10	passed	A2
absorption	417	absorption is the process of absorbing a fluid by another fluid to form a fluid solution.	0	6	6	absorbing	A2
acceleration	7	acceleration occurs due to the action of an unbalanced force on an object.	0	5	13	the action of an unbalanced force on an object	A1
acceleration	71	the tangential acceleration is caused by gravity.	0	7	7	gravity	A1
acceleration	119	this acceleration is caused by positive feedback between the temperature, thermal buoyancy and effective viscosity of the material.	0	6	19	positive feedback between the temperature , thermal buoyancy and effective viscosity of the material	A1
acceleration	162	acceleration depends on factors such as power to weight.	0	7	9	power to weight	A1
acceleration	190	acceleration occurs when there is a net force on an...	0	6	10	a net force on an	A1
acceleration	229	as defined by ke =1/2 mv^2, acceleration is the process of gaining kinetic energy, so the greater the power delivered, the quicker it gains kinetic energy.	0	16	16	gaining	A2
acceleration	323	the extreme acceleration occurs when the speed is suddenly changed from a low level to a much higher level.	3	1	3	the extreme acceleration	NONE
acceleration	323	the extreme acceleration occurs when the speed is suddenly changed from a low level to a much higher level.	5	4	4	occurs	NONE
acceleration	323	the extreme acceleration occurs when the speed is suddenly changed from a low level to a much higher level.	0	6	7	the speed	A0
acceleration	323	the extreme acceleration occurs when the speed is suddenly changed from a low level to a much higher level.	2	9	9	suddenly	NONE
acceleration	323	the extreme acceleration occurs when the speed is suddenly changed from a low level to a much higher level.	1	10	10	changed	A2
acceleration	323	the extreme acceleration occurs when the speed is suddenly changed from a low level to a much higher level.	4	11	14	from a low level	NONE
acceleration	323	the extreme acceleration occurs when the speed is suddenly changed from a low level to a much higher level.	7	16	19	a much higher level	NONE
acceleration	381	an object's acceleration is the net result of any and all forces acting on the object, as...	0	7	7	net	A2
